status,eligible_for_model_training,purpose,hypothesis_id,parent_hypothesis_ids,existing_parent_hypothesis_ids,addendum_parent_hypothesis_ids,all_parent_ids_exist,addendum_dag_cycle_member,orphan_candidate,orphan_reason,dependency_review_status
provisional,false,hypothesis_addendum_sidecar_review_only,H063,H001;H002;H021,H001;H002;H021,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H064,H018;H019;H016,H018;H019;H016,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H065,H023;H022,H023;H022,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H066,H004;H005;H007,H004;H005;H007,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H067,H066;H004;H005,H004;H005,H066,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H068,H001;H004;H005;H008,H001;H004;H005;H008,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H069,H003;H008;H022,H003;H008;H022,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H070,H027;H019,H027;H019,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H071,H027;H024;H025,H027;H024;H025,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H072,H058;H027;H011,H027;H011,H058,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H073,H020;H015,H020;H015,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H074,H020;H017,H020;H017,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H075,H020;H037,H020,H037,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H076,H047;H022;H021,H022;H021,H047,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H077,H007;H066,H007,H066,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H078,H040;H022,H022,H040,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H079,H023,H023,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H080,H045;H049,,H045;H049,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H081,H027;H019;H001;H005,H027;H019;H001;H005,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H082,H039;H015;H017,H015;H017,H039,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H083,H068;H069,,H068;H069,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H084,H016;H042,H016,H042,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H085,H016,H016,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H086,H022;H023,H022;H023,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H087,H023;H049,H023,H049,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H088,H021;H002,H021;H002,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H089,H064;H045;H049,,H064;H045;H049,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H090,H013;H014,H013;H014,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H091,H027;H024;H025,H027;H024;H025,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H092,H012;H049,H012,H049,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H093,H047;H012,H012,H047,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H094,H028;H023,H028;H023,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H095,H015,H015,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H096,H044;H029,H029,H044,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H097,H064;H016;H019;H021,H016;H019;H021,H064,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H098,H019;H039;H056,H019,H039;H056,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H099,H036;H039;H056,,H036;H039;H056,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H100,H086;H039,,H086;H039,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H101,H049;H087,,H049;H087,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H102,H087;H019,H019,H087,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H103,H019;H023,H019;H023,,true,false,false,rooted_in_formal_registry,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H104,H043;H055,,H043;H055,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H105,H043;H044,,H043;H044,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H106,H021;H050,H021,H050,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H107,H046;H011;H021,H011;H021,H046,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H108,H040;H065;H023,H023,H040;H065,true,false,false,connected_to_addendum_dependency,valid
provisional,false,hypothesis_addendum_sidecar_review_only,H109,H043;H049;H080,,H043;H049;H080,true,false,false,connected_to_addendum_dependency,valid
