followup_id,priority,venue_code,venue_name,equipment_type,unresolved_period_start,unresolved_period_end,affected_race_count_total_batch,affected_boat_row_count_total_batch,reason_code,recommended_official_evidence,suggested_search_terms,current_exact_boundaries,manual_followup_status,generation_id_issued
FOLLOW:EBATCH:06:motor:f814297a44fc,P1,06,浜名湖,motor,2023-09-01,2026-04-08,6432,38592,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",06 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-09,not_started,false
FOLLOW:EBATCH:02:boat:25ce019ef28c,P1,02,戸田,boat,2023-09-01,2025-08-05,6408,38448,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",02 boat 新モーター 新ボート 使用開始 過去 使用開始日,2025-08-06,not_started,false
FOLLOW:EBATCH:02:motor:e2ac07487182,P1,02,戸田,motor,2023-09-01,2025-08-05,6408,38448,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",02 motor 新モーター 新ボート 使用開始 過去 使用開始日,2025-08-06,not_started,false
FOLLOW:EBATCH:12:boat:6c2a3a5379c7,P2,12,住之江,boat,2023-09-03,2026-03-22,6336,38016,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",12 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-03-23,not_started,false
FOLLOW:EBATCH:12:motor:d70b31025705,P2,12,住之江,motor,2023-09-03,2026-03-22,6336,38016,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",12 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-03-23,not_started,false
FOLLOW:EBATCH:20:boat:7bf6fc12ca7e,P2,20,若松,boat,2023-09-01,2026-06-10,6312,37800,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",20 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-06-11,not_started,false
FOLLOW:EBATCH:20:motor:a8f76e35a50b,P2,20,若松,motor,2023-09-01,2025-11-25,6312,37800,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",20 motor 新モーター 新ボート 使用開始 過去 使用開始日,2025-11-26,not_started,false
FOLLOW:EBATCH:21:boat:40fafd94d0e0,P2,21,芦屋,boat,2023-09-07,2026-04-15,6252,37512,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",21 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-16,not_started,false
FOLLOW:EBATCH:21:motor:6579257cb563,P2,21,芦屋,motor,2023-09-07,2026-04-15,6252,37512,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",21 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-16,not_started,false
FOLLOW:EBATCH:01:motor:28c1e578fcc1,P2,01,桐生,motor,2023-09-05,2023-12-27,6228,37368,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",01 motor 新モーター 新ボート 使用開始 過去 使用開始日,2023-12-28;2025-12-27,not_started,false
FOLLOW:EBATCH:03:boat:df6c66590237,P2,03,江戸川,boat,2023-09-02,2025-05-05,6216,36648,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",03 boat 新モーター 新ボート 使用開始 過去 使用開始日,2025-05-06;2026-05-11,not_started,false
FOLLOW:EBATCH:03:motor:0da266669269,P2,03,江戸川,motor,2023-09-02,2025-05-05,6216,36648,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",03 motor 新モーター 新ボート 使用開始 過去 使用開始日,2025-05-06;2026-05-11,not_started,false
FOLLOW:EBATCH:10:boat:8b35898c046d,P2,10,三国,boat,2023-09-01,2026-03-06,6204,36864,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",10 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-03-07,not_started,false
FOLLOW:EBATCH:10:motor:b7c66cd9769f,P2,10,三国,motor,2023-09-01,2026-03-06,6204,36864,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",10 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-03-07,not_started,false
FOLLOW:EBATCH:23:boat:98cf8cfbc0fd,P2,23,唐津,boat,2023-09-01,2026-03-16,6132,36792,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",23 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-03-17,not_started,false
FOLLOW:EBATCH:23:motor:0c2bc574b866,P2,23,唐津,motor,2023-09-01,2025-09-04,6132,36792,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",23 motor 新モーター 新ボート 使用開始 過去 使用開始日,2025-09-05,not_started,false
FOLLOW:EBATCH:16:boat:f682d842f4c2,P2,16,児島,boat,2023-09-01,2025-12-16,6084,36504,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",16 boat 新モーター 新ボート 使用開始 過去 使用開始日,2025-12-17,not_started,false
FOLLOW:EBATCH:16:motor:02400f103ec9,P2,16,児島,motor,2023-09-01,2025-12-16,6084,36504,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",16 motor 新モーター 新ボート 使用開始 過去 使用開始日,2025-12-17,not_started,false
FOLLOW:EBATCH:18:boat:05fc72644e85,P2,18,徳山,boat,2023-09-01,2025-11-03,6072,36432,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",18 boat 新モーター 新ボート 使用開始 過去 使用開始日,2025-11-04,not_started,false
FOLLOW:EBATCH:18:motor:8e767b3a1c95,P2,18,徳山,motor,2023-09-01,2026-04-19,6072,36432,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",18 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-20,not_started,false
FOLLOW:EBATCH:22:boat:a0c2dfae3003,P2,22,福岡,boat,2023-09-01,2026-02-17,6048,36288,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",22 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-02-18,not_started,false
FOLLOW:EBATCH:22:motor:9ea47ee47eca,P2,22,福岡,motor,2023-09-01,2026-02-17,6048,36288,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",22 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-02-18,not_started,false
FOLLOW:EBATCH:05:boat:dd073781a783,P2,05,多摩川,boat,2023-09-05,2026-04-17,6036,36216,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",05 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-18,not_started,false
FOLLOW:EBATCH:05:motor:d05ae8e7ccb5,P2,05,多摩川,motor,2023-09-05,2026-04-17,6036,36216,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",05 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-18,not_started,false
FOLLOW:EBATCH:19:boat:db8900ddf085,P2,19,下関,boat,2023-09-01,2026-04-28,6024,36144,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",19 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-29,not_started,false
FOLLOW:EBATCH:19:motor:541b3494cd16,P2,19,下関,motor,2023-09-01,2026-04-28,6024,36144,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",19 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-29,not_started,false
FOLLOW:EBATCH:13:boat:42621e2fe40d,P2,13,尼崎,boat,2023-09-01,2026-04-16,5952,35568,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",13 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-17,not_started,false
FOLLOW:EBATCH:13:motor:d240f24e683e,P2,13,尼崎,motor,2023-09-01,2026-04-16,5952,35568,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",13 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-17,not_started,false
FOLLOW:EBATCH:09:boat:fe78c723dc71,P2,09,津,boat,2023-12-16,2025-12-21,5940,35640,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",09 boat 新モーター 新ボート 使用開始 過去 使用開始日,2025-12-22,not_started,false
FOLLOW:EBATCH:09:motor:2b2605fc4a34,P2,09,津,motor,2023-12-16,2025-12-21,5940,35640,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",09 motor 新モーター 新ボート 使用開始 過去 使用開始日,2025-12-22,not_started,false
FOLLOW:EBATCH:11:boat:f1cec0ab6f72,P2,11,びわこ,boat,2023-09-03,2026-04-07,5940,35640,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",11 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-08,not_started,false
FOLLOW:EBATCH:11:motor:28395480d127,P2,11,びわこ,motor,2023-09-03,2026-04-07,5940,35640,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",11 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-08,not_started,false
FOLLOW:EBATCH:14:boat:0af68bcf49fb,P2,14,鳴門,boat,2023-09-03,2026-04-10,5808,34848,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",14 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-11,not_started,false
FOLLOW:EBATCH:14:motor:8c70a52707a0,P2,14,鳴門,motor,2023-09-03,2026-04-10,5808,34848,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",14 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-04-11,not_started,false
FOLLOW:EBATCH:04:boat:718b10f2b7b9,P2,04,平和島,boat,2023-09-06,2026-06-17,5712,34272,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",04 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-06-18,not_started,false
FOLLOW:EBATCH:04:motor:54af06a12621,P2,04,平和島,motor,2023-09-06,2026-06-17,5712,34272,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",04 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-06-18,not_started,false
