candidate_id,venue_code,venue_name,equipment_type,equipment_number_scope,generation_start_date,generation_end_date_if_known,end_date_derivation,generation_role,boundary_confidence,evidence_ids,affected_evidence_batch_id,batch_period_start,batch_period_end,candidate_period_relation,generation_id_candidate_template,generation_id_issued,materialization_status,validation_status,notes
GENCAND:08:boat:20260629,08,常滑,boat,all numbers in the venue generation; materialize per observed number after date join,2026-06-29,,,current,A,EV012,EBATCH:08:boat:a724bab64dd6,2023-09-01,2026-07-18,starts_within_batch,08_boat_{equipment_number}_20260629,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:08:motor:20251111,08,常滑,motor,all numbers in the venue generation; materialize per observed number after date join,2025-11-11,,,current,A,EV011,EBATCH:08:motor:ef58f45086c9,2023-09-01,2026-07-18,starts_within_batch,08_motor_{equipment_number}_20251111,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:09:boat:20251222,09,津,boat,all numbers in the venue generation; materialize per observed number after date join,2025-12-22,,,current,A,EV014,EBATCH:09:boat:fe78c723dc71,2023-12-16,2026-07-18,starts_within_batch,09_boat_{equipment_number}_20251222,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:09:motor:20251222,09,津,motor,all numbers in the venue generation; materialize per observed number after date join,2025-12-22,,,current,A,EV013,EBATCH:09:motor:2b2605fc4a34,2023-12-16,2026-07-18,starts_within_batch,09_motor_{equipment_number}_20251222,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:10:boat:20260307,10,三国,boat,all numbers in the venue generation; materialize per observed number after date join,2026-03-07,,,current,B,EV015,EBATCH:10:boat:8b35898c046d,2023-09-01,2026-07-18,starts_within_batch,10_boat_{equipment_number}_20260307,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:10:motor:20260307,10,三国,motor,all numbers in the venue generation; materialize per observed number after date join,2026-03-07,,,current,B,EV015,EBATCH:10:motor:b7c66cd9769f,2023-09-01,2026-07-18,starts_within_batch,10_motor_{equipment_number}_20260307,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:11:boat:20260408,11,びわこ,boat,all numbers in the venue generation; materialize per observed number after date join,2026-04-08,,,current,A,EV016,EBATCH:11:boat:f1cec0ab6f72,2023-09-03,2026-07-18,starts_within_batch,11_boat_{equipment_number}_20260408,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:11:motor:20260408,11,びわこ,motor,all numbers in the venue generation; materialize per observed number after date join,2026-04-08,,,current,A,EV016,EBATCH:11:motor:28395480d127,2023-09-03,2026-07-18,starts_within_batch,11_motor_{equipment_number}_20260408,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:12:boat:20260323,12,住之江,boat,all numbers in the venue generation; materialize per observed number after date join,2026-03-23,,,current,A,EV018,EBATCH:12:boat:6c2a3a5379c7,2023-09-03,2026-07-18,starts_within_batch,12_boat_{equipment_number}_20260323,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:12:motor:20260323,12,住之江,motor,all numbers in the venue generation; materialize per observed number after date join,2026-03-23,,,current,A,EV017,EBATCH:12:motor:d70b31025705,2023-09-03,2026-07-18,starts_within_batch,12_motor_{equipment_number}_20260323,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:13:boat:20260417,13,尼崎,boat,all numbers in the venue generation; materialize per observed number after date join,2026-04-17,,,current,A,EV020,EBATCH:13:boat:42621e2fe40d,2023-09-01,2026-07-18,starts_within_batch,13_boat_{equipment_number}_20260417,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:13:motor:20260417,13,尼崎,motor,all numbers in the venue generation; materialize per observed number after date join,2026-04-17,,,current,A,EV019,EBATCH:13:motor:d240f24e683e,2023-09-01,2026-07-18,starts_within_batch,13_motor_{equipment_number}_20260417,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:14:boat:20260411,14,鳴門,boat,all numbers in the venue generation; materialize per observed number after date join,2026-04-11,,,current,A,EV022,EBATCH:14:boat:0af68bcf49fb,2023-09-03,2026-07-13,starts_within_batch,14_boat_{equipment_number}_20260411,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:14:motor:20260411,14,鳴門,motor,all numbers in the venue generation; materialize per observed number after date join,2026-04-11,,,current,A,EV021,EBATCH:14:motor:8c70a52707a0,2023-09-03,2026-07-13,starts_within_batch,14_motor_{equipment_number}_20260411,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:15:boat:20260709,15,丸亀,boat,all numbers in the venue generation; materialize per observed number after date join,2026-07-09,,,current,A,EV024,EBATCH:15:boat:c03bca866a39,2023-09-25,2026-07-14,starts_within_batch,15_boat_{equipment_number}_20260709,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:15:motor:20250903,15,丸亀,motor,all numbers in the venue generation; materialize per observed number after date join,2025-09-03,,,current,A,EV023,EBATCH:15:motor:a33d71edc25a,2023-09-25,2026-07-14,starts_within_batch,15_motor_{equipment_number}_20250903,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:16:boat:20251217,16,児島,boat,all numbers in the venue generation; materialize per observed number after date join,2025-12-17,,,current,A,EV025,EBATCH:16:boat:f682d842f4c2,2023-09-01,2026-07-18,starts_within_batch,16_boat_{equipment_number}_20251217,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:16:motor:20251217,16,児島,motor,all numbers in the venue generation; materialize per observed number after date join,2025-12-17,,,current,A,EV025,EBATCH:16:motor:02400f103ec9,2023-09-01,2026-07-18,starts_within_batch,16_motor_{equipment_number}_20251217,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:17:boat:20241020,17,宮島,boat,all numbers in the venue generation; materialize per observed number after date join,2024-10-20,2025-10-18,day_before_next_exact_A_or_B_start,historical,A,EV043,EBATCH:17:boat:9681773850c1,2023-09-03,2026-07-18,starts_within_batch,17_boat_{equipment_number}_20241020,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:17:boat:20251019,17,宮島,boat,all numbers in the venue generation; materialize per observed number after date join,2025-10-19,,,current,A,EV026,EBATCH:17:boat:9681773850c1,2023-09-03,2026-07-18,starts_within_batch,17_boat_{equipment_number}_20251019,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:17:motor:20241020,17,宮島,motor,all numbers in the venue generation; materialize per observed number after date join,2024-10-20,2025-10-18,day_before_next_exact_A_or_B_start,historical,A,EV043,EBATCH:17:motor:27ed24fcff06,2023-09-03,2026-07-18,starts_within_batch,17_motor_{equipment_number}_20241020,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:17:motor:20251019,17,宮島,motor,all numbers in the venue generation; materialize per observed number after date join,2025-10-19,,,current,A,EV026,EBATCH:17:motor:27ed24fcff06,2023-09-03,2026-07-18,starts_within_batch,17_motor_{equipment_number}_20251019,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:18:boat:20251104,18,徳山,boat,all numbers in the venue generation; materialize per observed number after date join,2025-11-04,,,current,A,EV028,EBATCH:18:boat:05fc72644e85,2023-09-01,2026-07-18,starts_within_batch,18_boat_{equipment_number}_20251104,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:18:motor:20260420,18,徳山,motor,all numbers in the venue generation; materialize per observed number after date join,2026-04-20,,,current,A,EV027,EBATCH:18:motor:8e767b3a1c95,2023-09-01,2026-07-18,starts_within_batch,18_motor_{equipment_number}_20260420,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:19:boat:20260429,19,下関,boat,all numbers in the venue generation; materialize per observed number after date join,2026-04-29,,,current,A,EV030,EBATCH:19:boat:db8900ddf085,2023-09-01,2026-07-13,starts_within_batch,19_boat_{equipment_number}_20260429,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:19:motor:20260429,19,下関,motor,all numbers in the venue generation; materialize per observed number after date join,2026-04-29,,,current,A,EV029,EBATCH:19:motor:541b3494cd16,2023-09-01,2026-07-13,starts_within_batch,19_motor_{equipment_number}_20260429,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:20:boat:20260611,20,若松,boat,all numbers in the venue generation; materialize per observed number after date join,2026-06-11,,,current,A,EV032,EBATCH:20:boat:7bf6fc12ca7e,2023-09-01,2026-07-18,starts_within_batch,20_boat_{equipment_number}_20260611,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:20:motor:20251126,20,若松,motor,all numbers in the venue generation; materialize per observed number after date join,2025-11-26,,,current,A,EV031,EBATCH:20:motor:a8f76e35a50b,2023-09-01,2026-07-18,starts_within_batch,20_motor_{equipment_number}_20251126,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:21:boat:20260416,21,芦屋,boat,all numbers in the venue generation; materialize per observed number after date join,2026-04-16,,,current,A,EV034,EBATCH:21:boat:40fafd94d0e0,2023-09-07,2026-07-18,starts_within_batch,21_boat_{equipment_number}_20260416,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:21:motor:20260416,21,芦屋,motor,all numbers in the venue generation; materialize per observed number after date join,2026-04-16,,,current,A,EV033,EBATCH:21:motor:6579257cb563,2023-09-07,2026-07-18,starts_within_batch,21_motor_{equipment_number}_20260416,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:22:boat:20260218,22,福岡,boat,all numbers in the venue generation; materialize per observed number after date join,2026-02-18,,,current,A,EV035,EBATCH:22:boat:a0c2dfae3003,2023-09-01,2026-07-15,starts_within_batch,22_boat_{equipment_number}_20260218,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:22:motor:20260218,22,福岡,motor,all numbers in the venue generation; materialize per observed number after date join,2026-02-18,,,current,A,EV035,EBATCH:22:motor:9ea47ee47eca,2023-09-01,2026-07-15,starts_within_batch,22_motor_{equipment_number}_20260218,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:23:boat:20260317,23,唐津,boat,all numbers in the venue generation; materialize per observed number after date join,2026-03-17,,,current,A,EV037,EBATCH:23:boat:98cf8cfbc0fd,2023-09-01,2026-07-15,starts_within_batch,23_boat_{equipment_number}_20260317,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:23:motor:20250905,23,唐津,motor,all numbers in the venue generation; materialize per observed number after date join,2025-09-05,,,current,A,EV036,EBATCH:23:motor:0c2bc574b866,2023-09-01,2026-07-15,starts_within_batch,23_motor_{equipment_number}_20250905,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:24:boat:20260524,24,大村,boat,all numbers in the venue generation; materialize per observed number after date join,2026-05-24,,,current,B,EV038,EBATCH:24:boat:7bbf9ec928d9,2023-09-01,2026-07-17,starts_within_batch,24_boat_{equipment_number}_20260524,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:24:motor:20260524,24,大村,motor,all numbers in the venue generation; materialize per observed number after date join,2026-05-24,,,current,A,EV039;EV038,EBATCH:24:motor:2380d2b68852,2023-09-01,2026-07-17,starts_within_batch,24_motor_{equipment_number}_20260524,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
