evidence_id,venue_code,venue_name,equipment_types,source_url,source_title,official_domain,published_at,retrieved_at,source_kind,raw_file_path,raw_sha256,evidence_level,explicit_start_date,explicit_end_date,supported_period,supported_equipment_numbers,affected_evidence_batch_ids,evidence_summary,exact_supporting_field_or_passage,ambiguity,verification_status,web_ref_id
EV026,17,宮島,motor;boat,https://www.boatrace-miyajima.com/news_detail.html?id=574,10/19～新モーター・新ボート・新プロペラ使用のお知らせ,www.boatrace-miyajima.com,2025-10-18,2026-07-28T00:07:28Z,html,raw/html_extracts/EV026.txt,d0c41f19ba93dda6cfb4926700294386d9ab5fc6dd190d273ad1f0bc5f3b6c67,A,2025-10-19,,2025-10-19,all/current generation,EBATCH:17:motor:27ed24fcff06;EBATCH:17:boat:9681773850c1,10月19日開始の開催から新モーター・新ボート・新プロペラを使用すると公式告知。,10月19日開始の開催から新モーター・新ボート・新プロペラを使用すると公式告知。,,verified_official_primary,turn513574view5
EV027,18,徳山,motor,https://www.boatrace-tokuyama.jp/sp/index.php?page=datafile-mrankdtl,ボートレース徳山 モーターデータ,www.boatrace-tokuyama.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV027.txt,79a7592b4a50b184a2b7ae899bb22361350b400115742fd7100754f3b79e844b,A,2026-04-20,,2026-04-20,all/current generation,EBATCH:18:motor:8e767b3a1c95,公式モーターデータが現モーターの使用開始日を2026-04-20と明記。,公式モーターデータが現モーターの使用開始日を2026-04-20と明記。,,verified_official_primary,turn825842view4
EV028,18,徳山,boat,https://www.boatrace-tokuyama.jp/sp/index.php?page=news-information&page_no=3,新ボートの使用開始について,www.boatrace-tokuyama.jp,2025-11-03,2026-07-28T00:07:28Z,html,raw/html_extracts/EV028.txt,c55832aefe2008eff30ff242c5ecbde3e8516fd65a09cdd800b9b34929412cbd,A,2025-11-04,,2025-11-04,all/current generation,EBATCH:18:boat:05fc72644e85,11月4日開始の中日スポーツ杯から新ボートを使用すると公式告知。,11月4日開始の中日スポーツ杯から新ボートを使用すると公式告知。,,verified_official_primary,turn513574view8
EV029,19,下関,motor,https://www.boatrace-shimonoseki.jp/sp/index.php?page=datafile-motorrank,ボートレース下関 モーターデータ,www.boatrace-shimonoseki.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV029.txt,7f48dc9746fe04c12ef8dc8350bc1058d8213494d46275d1a4683ce4fd90d309,A,2026-04-29,,2026-04-29,all/current generation,EBATCH:19:motor:541b3494cd16,公式モーターデータが現モーターの使用開始日を2026-04-29と明記。,公式モーターデータが現モーターの使用開始日を2026-04-29と明記。,,verified_official_primary,turn825842view5
EV030,19,下関,boat,https://www.boatrace-shimonoseki.jp/sp/index.php?page=datafile-boat,ボートレース下関 ボートデータ,www.boatrace-shimonoseki.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV030.txt,671d2ff54887d4b36630c7cbeb472c13819dcdf00ff49b552669bd45d47e010e,A,2026-04-29,,2026-04-29,all/current generation,EBATCH:19:boat:db8900ddf085,公式ボートデータが現ボートの使用開始日を2026-04-29と明記。,公式ボートデータが現ボートの使用開始日を2026-04-29と明記。,,verified_official_primary,turn825842view6
EV031,20,若松,motor,https://www.wmb.jp/sp/index.php?page=datafile-motorrank,ボートレース若松 モーターランキング,www.wmb.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV031.txt,964cc21ce60481c4aad1a5da65b5ce68f17c7e3812fdd2b725242fd7b77dd992,A,2025-11-26,,2025-11-26,all/current generation,EBATCH:20:motor:a8f76e35a50b,公式モーターランキングが現モーターの使用開始日を2025-11-26と明記。,公式モーターランキングが現モーターの使用開始日を2025-11-26と明記。,,verified_official_primary,turn825842view7
EV032,20,若松,boat,https://www.wmb.jp/sp/index.php?page=datafile-boat,ボートレース若松 ボートランキング,www.wmb.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV032.txt,afffee43a9791d73f601c0bcf50379a8123759260f1d2b237f7a8fde6533401c,A,2026-06-11,,2026-06-11,all/current generation,EBATCH:20:boat:7bf6fc12ca7e,公式ボートランキングが現ボートの使用開始日を2026-06-11と明記。,公式ボートランキングが現ボートの使用開始日を2026-06-11と明記。,,verified_official_primary,turn825842view8
EV033,21,芦屋,motor,https://www.boatrace-ashiya.com/sp/index.php?page=datafile-motorrank,ボートレース芦屋 モーター台帳,www.boatrace-ashiya.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV033.txt,b72d75b2c1573f5118f56f54c5d42bff7024579dc086ed70c4fa5c5677834da2,A,2026-04-16,,2026-04-16,all/current generation,EBATCH:21:motor:6579257cb563,公式モーター台帳が現モーターの使用開始日を2026-04-16と明記。,公式モーター台帳が現モーターの使用開始日を2026-04-16と明記。,,verified_official_primary,turn825842view9
EV034,21,芦屋,boat,https://www.boatrace-ashiya.com/sp/index.php?page=datafile-boat,ボートレース芦屋 ボートデータ,www.boatrace-ashiya.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV034.txt,85ed2a3d561e6d5aa4cce991ec6e09715223b7bc71691823f321b5b79865c7de,A,2026-04-16,,2026-04-16,all/current generation,EBATCH:21:boat:40fafd94d0e0,公式ボートデータが現ボートの使用開始日を2026-04-16と明記。,公式ボートデータが現ボートの使用開始日を2026-04-16と明記。,,verified_official_primary,turn825842view10
EV035,22,福岡,motor;boat,https://www.boatrace-fukuoka.com/sp/index.php?page=news-info&storyid=2402,新モーター・新ボートの利用開始について,www.boatrace-fukuoka.com,2026-02-16,2026-07-28T00:07:28Z,html,raw/html_extracts/EV035.txt,6aa0903ee09946606fd1f19bb86877058768b5750ca2b8f3cf1962c8ca54419b,A,2026-02-18,,2026-02-18,all/current generation,EBATCH:22:motor:9ea47ee47eca;EBATCH:22:boat:a0c2dfae3003,2月18日開始のヴィーナスシリーズから新モーター・新ボートを利用すると公式告知。,2月18日開始のヴィーナスシリーズから新モーター・新ボートを利用すると公式告知。,,verified_official_primary,turn825842view11
EV036,23,唐津,motor,https://www.boatrace-karatsu.jp/sp/index.php?page=datafile-mrankdtl,ボートレースからつ モーターデータ,www.boatrace-karatsu.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV036.txt,c7b2dadda912529e34331a334851fc8a2500347ce0e54b81d9d116825aaece20,A,2025-09-05,,2025-09-05,all/current generation,EBATCH:23:motor:0c2bc574b866,公式モーターデータが現モーターの使用開始日を2025-09-05と明記。,公式モーターデータが現モーターの使用開始日を2025-09-05と明記。,,verified_official_primary,turn825842view12
EV037,23,唐津,boat,https://www.boatrace-karatsu.jp/sp/index.php?page=datafile-boat,ボートレースからつ ボートデータ,www.boatrace-karatsu.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV037.txt,a4bf027eb0ea2c4c9b217db15ca578445ceb2fec2814ea3b1ffd1f9158e76055,A,2026-03-17,,2026-03-17,all/current generation,EBATCH:23:boat:98cf8cfbc0fd,公式ボートデータが現ボートの使用開始日を2026-03-17と明記。,公式ボートデータが現ボートの使用開始日を2026-03-17と明記。,,verified_official_primary,turn825842view13
EV038,24,大村,motor;boat,https://www.omurakyotei.jp/yosou/sp/allrace.php?day=20260524,ボートレース大村 2026年5月24日の展望,www.omurakyotei.jp,2026-05-24,2026-07-28T00:07:28Z,html,raw/html_extracts/EV038.txt,041b1e6e439a5ab04643911da63785d0b592140327cc683a831fcadccf5d2ff9,B,2026-05-24,,2026-05-24,all/current generation,EBATCH:24:motor:2380d2b68852;EBATCH:24:boat:7bbf9ec928d9,5月24日の公式展望が今節から新エンジン・新ボートを使用すると説明。,5月24日の公式展望が今節から新エンジン・新ボートを使用すると説明。,,verified_official_primary,turn992883view7
EV039,24,大村,motor,https://www.omurakyotei.jp/data/motor.php,ボートレース大村 モーター成績表,www.omurakyotei.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV039.txt,547e812ea04c92e643e94211281a78d9ea298202ab3c07e895718a9da7bc219d,A,2026-05-24,,2026-05-24,all/current generation,EBATCH:24:motor:2380d2b68852,公式モーター成績表が2026-05-24からの通算成績と明記。,公式モーター成績表が2026-05-24からの通算成績と明記。,,verified_official_primary,turn513574view19
EV040,01,桐生,motor,https://www.kiryu-kyotei.com/sp/index.php?key=290&page=raceinfo-tenbo,ボートレース桐生 レース展望（第9回寿司の美喜仁杯）,www.kiryu-kyotei.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV040.txt,adb34a41b4583f9da9253fa830126afd699d2c61fa83c51d88b429f7f4566a40,B,2023-12-28,,2023-12-28,all/current generation,EBATCH:01:motor:28c1e578fcc1,12月28日開始の開催を新モーター導入シリーズと公式展望が説明。,12月28日開始の開催を新モーター導入シリーズと公式展望が説明。,,verified_official_primary,turn603731view0
EV041,03,江戸川,motor;boat,https://www.boatrace-edogawa.com/uploads/pdf/edo20250621.pdf,ボートレース江戸川 2025年6月21日公式出走表,www.boatrace-edogawa.com,2025-06-21,2026-07-28T00:07:28Z,pdf,raw/pdfs/edogawa_20250506_generation.pdf,26857d89e19908e6e47ba30cb750ef3fe676579c61c8df3ba6cbf42b51e41d11,A,2025-05-06,,2025-05-06,all/current generation,EBATCH:03:motor:0da266669269;EBATCH:03:boat:df6c66590237,公式出走表がモーター・ボート使用開始日をともに2025-05-06と明記。,公式出走表がモーター・ボート使用開始日をともに2025-05-06と明記。,,verified_official_primary,turn719683view0
EV042,07,蒲郡,motor;boat,https://www1.gamagori-kyotei.com/asp/gamagori/kyogi/kyogihtml/pdf_A4/pdf_A42024041307.pdf,ボートレース蒲郡 2024年4月13日公式出走表,www1.gamagori-kyotei.com,2024-04-13,2026-07-28T00:07:28Z,pdf,raw/pdfs/gamagori_20230707_generation.pdf,db7ffa26029c9870b19a829d0cbd5b35ef01905610bc4eca15a9731c966e1077,A,2023-07-07,,2023-07-07,all/current generation,EBATCH:07:motor:19b8135bc000;EBATCH:07:boat:ad4f5e5feeba,公式出走表がモーター・ボート使用開始日を2023-07-07と明記。,公式出走表がモーター・ボート使用開始日を2023-07-07と明記。,,verified_official_primary,turn232254view0
EV043,17,宮島,motor;boat,https://www.boatrace-miyajima.com/news_detail.html?id=408,10/20～新モーター・新ボート・新プロペラ使用のお知らせ,www.boatrace-miyajima.com,2024-10-20,2026-07-28T00:07:28Z,html,raw/html_extracts/EV043.txt,e4c99dff0e74674bbfb62807c271a6537aaf346ff12ab31937726c362a2ae694,A,2024-10-20,,2024-10-20,all/current generation,EBATCH:17:motor:27ed24fcff06;EBATCH:17:boat:9681773850c1,10月20日開始の開催から新モーター・新ボート・新プロペラを使用すると公式告知。,10月20日開始の開催から新モーター・新ボート・新プロペラを使用すると公式告知。,,verified_official_primary,turn513574view6
